西元年,月,日,星期,總運量
2015,04,01,三,2048305
2015,04,02,四,2158720
2015,04,03,五,1769724
2015,04,04,六,1674820
2015,04,05,日,1510349
2015,04,06,一,1579297
2015,04,07,二,1983465
2015,04,08,三,2028915
2015,04,09,四,2061803
2015,04,10,五,2275422
2015,04,11,六,1966373
2015,04,12,日,1656018
2015,04,13,一,1968264
2015,04,14,二,2003426
2015,04,15,三,2025021
2015,04,16,四,2014753
2015,04,17,五,2188779
2015,04,18,六,1958707
2015,04,19,日,1618031
2015,04,20,一,1929198
2015,04,21,二,1954680
2015,04,22,三,1997117
2015,04,23,四,2000629
2015,04,24,五,2201347
2015,04,25,六,2016736
2015,04,26,日,1693935
2015,04,27,一,1941963
2015,04,28,二,1984661
2015,04,29,三,2019740
2015,04,30,四,2102457
