西元年,月,日,星期,總運量
2016,05,01,日,1755057
2016,05,02,一,1807596
2016,05,03,二,2077283
2016,05,04,三,2112583
2016,05,05,四,2135616
2016,05,06,五,2370926
2016,05,07,六,1953575
2016,05,08,日,1580602
2016,05,09,一,2001262
2016,05,10,二,2043710
2016,05,11,三,2085198
2016,05,12,四,2087353
2016,05,13,五,2363597
2016,05,14,六,2060206
2016,05,15,日,1770290
2016,05,16,一,2055738
2016,05,17,二,2045270
2016,05,18,三,2073546
2016,05,19,四,2083057
2016,05,20,五,2312253
2016,05,21,六,2046123
2016,05,22,日,1722405
2016,05,23,一,2019488
2016,05,24,二,2036762
2016,05,25,三,2064867
2016,05,26,四,2062843
2016,05,27,五,2245752
2016,05,28,六,1992370
2016,05,29,日,1641869
2016,05,30,一,1987501
2016,05,31,二,2046651
