西元年,月,日,星期,總運量
2024,04,01,一,2083410
2024,04,02,二,2165625
2024,04,03,三,1896482
2024,04,04,四,1384656
2024,04,05,五,1551316
2024,04,06,六,1631133
2024,04,07,日,1411666
2024,04,08,一,2067526
2024,04,09,二,2130390
2024,04,10,三,2178446
2024,04,11,四,2194442
2024,04,12,五,2366249
2024,04,13,六,1902974
2024,04,14,日,1588323
2024,04,15,一,2096083
2024,04,16,二,2138909
2024,04,17,三,2186074
2024,04,18,四,2192321
2024,04,19,五,2371867
2024,04,20,六,1945392
2024,04,21,日,1589021
2024,04,22,一,2045472
2024,04,23,二,2059332
2024,04,24,三,2116598
2024,04,25,四,2171339
2024,04,26,五,2296627
2024,04,27,六,1792818
2024,04,28,日,1523809
2024,04,29,一,2126394
2024,04,30,二,2226532
